geoid,hometown_city_clean,hometown_state_clean,hometown_combined,total_players,total_pop,black_pop,pct_black,median_income,players_per_thousand
0868875,Sedalia,CO,"Sedalia, CO",2,58,0,0,95859,34.5
2479875,Upper Marlboro,MD,"Upper Marlboro, MD",12,621,385,62,99667,19.3
4869608,Spring Branch,TX,"Spring Branch, TX",2,154,0,0,140333,13
3141830,Roca,NE,"Roca, NE",2,167,0,0,76875,12
5669700,Shell,WY,"Shell, WY",1,86,0,0,NA,11.6
4555015,Pawleys Island,SC,"Pawleys Island, SC",1,87,0,0,130833,11.5
5160392,Palmyra,VA,"Palmyra, VA",1,96,0,0,NA,10.4
2806100,Biggersville,MS,"Biggersville, MS",1,117,0,0,33902,8.5
2682450,Clarkston,MI,"Clarkston, MI",6,743,20,2.7,82039,8.1
1913485,Clare,IA,"Clare, IA",1,139,0,0,71250,7.2
4854624,Paige,TX,"Paige, TX",1,142,0,0,NA,7
5117376,Clifton,VA,"Clifton, VA",2,330,1,0.3,192813,6.1
1209900,Campbellton,FL,"Campbellton, FL",1,172,127,73.8,38750,5.8
1369980,Sharpsburg,GA,"Sharpsburg, GA",3,519,98,18.9,67763,5.8
2867960,Silver Creek,MS,"Silver Creek, MS",1,185,49,26.5,30833,5.4
76957,Wall,TX,"Wall, TX",1,185,0,0,NA,5.4
0143744,Loachapoka,AL,"Loachapoka, AL",1,207,53,25.6,39688,4.8
1919585,Defiance,IA,"Defiance, IA",1,212,0,0,46875,4.7
2826020,French Camp,MS,"French Camp, MS",1,211,42,19.9,35000,4.7
2864800,Sallis,MS,"Sallis, MS",1,215,91,42.3,36917,4.7
2834700,Independence,MS,"Independence, MS",1,233,0,0,NA,4.3
5100772,Aldie,VA,"Aldie, VA",1,235,0,0,115455,4.3
3124670,Johnson,NE,"Johnson, NE",1,258,2,0.8,54583,3.9
4205288,Belle Vernon,PA,"Belle Vernon, PA",3,783,28,3.6,32331,3.8
1259400,Raiford,FL,"Raiford, FL",1,271,38,14,NA,3.7
1550150,Maunaloa,HI,"Maunaloa, HI",1,270,0,0,45625,3.7
2267355,St. James,LA,"St. James, LA",2,544,462,84.9,26964,3.7
1376504,Tiger,GA,"Tiger, GA",2,561,11,2,40469,3.6
1917130,Crawfordsville,IA,"Crawfordsville, IA",1,309,0,0,65000,3.2
3716240,Danbury,NC,"Danbury, NC",1,311,16,5.1,73750,3.2
5142216,Keswick,VA,"Keswick, VA",1,339,1,0.3,250001,2.9
4075200,Turpin,OK,"Turpin, OK",1,357,0,0,74000,2.8
2216830,Columbia,LA,"Columbia, LA",1,377,109,28.9,58750,2.7
3750340,Parkton,NC,"Parkton, NC",1,376,74,19.7,49861,2.7
4646180,Oacoma,SD,"Oacoma, SD",1,376,0,0,66389,2.7
2008425,Brewster,KS,"Brewster, KS",1,391,0,0,61607,2.6
2637020,Hartland,MI,"Hartland, MI",2,771,0,0,69250,2.6
2952148,New Melle,MO,"New Melle, MO",1,382,0,0,82188,2.6
3467860,Skillman,NJ,"Skillman, NJ",1,380,21,5.5,121471,2.6
1309068,Bogart,GA,"Bogart, GA",4,1606,108,6.7,67778,2.5
4566760,Six Mile,SC,"Six Mile, SC",3,1185,0,0,100735,2.5
3703020,Bailey,NC,"Bailey, NC",1,420,44,10.5,42404,2.4
0142304,Leroy,AL,"Leroy, AL",2,885,288,32.5,68854,2.3
2840600,Lexington,MS,"Lexington, MS",3,1301,1000,76.9,31150,2.3
3709800,Cameron,NC,"Cameron, NC",1,432,152,35.2,65357,2.3
1926940,Farnhamville,IA,"Farnhamville, IA",1,457,56,12.3,46136,2.2
2253370,Napoleonville,LA,"Napoleonville, LA",1,446,347,77.8,24083,2.2
2838600,Lake,MS,"Lake, MS",1,450,200,44.4,51016,2.2
2179860,Virgie,KY,"Virgie, KY",1,470,0,0,26833,2.1
2516635,Deerfield,MA,"Deerfield, MA",1,470,19,4,NA,2.1
4755900,Ooltewah,TN,"Ooltewah, TN",1,479,40,8.4,NA,2.1
1946425,Long Grove,IA,"Long Grove, IA",2,1012,0,0,109545,2
2607020,Belleville,MI,"Belleville, MI",8,3978,699,17.6,51602,2
1718498,Danforth,IL,"Danforth, IL",1,517,10,1.9,41339,1.9
2178672,Upton,KY,"Upton, KY",1,521,17,3.3,52313,1.9
2213925,Centerville,LA,"Centerville, LA",1,516,0,0,NA,1.9
4801636,Alba,TX,"Alba, TX",1,516,31,6,42885,1.9
4801744,Aledo,TX,"Aledo, TX",9,4692,3,0.1,112975,1.9
1345768,Leesburg,GA,"Leesburg, GA",6,3407,1468,43.1,67551,1.8
1971310,Scranton,IA,"Scranton, IA",1,547,0,0,46635,1.8
3742700,Middlesex,NC,"Middlesex, NC",2,1141,356,31.2,36375,1.8
4803768,Argyle,TX,"Argyle, TX",8,4336,62,1.4,149219,1.8
0554170,Pearcy,AR,"Pearcy, AR",1,582,0,0,39625,1.7
1320932,Cumming,GA,"Cumming, GA",12,6886,483,7,63438,1.7
1352668,Moreland,GA,"Moreland, GA",1,601,56,9.3,80000,1.7
1522250,Kahuku,HI,"Kahuku, HI",4,2371,54,2.3,83566,1.7
2874760,Tunica,MS,"Tunica, MS",2,1202,404,33.6,44000,1.7
3728400,Grover,NC,"Grover, NC",1,577,34,5.9,31528,1.7
3751820,Pilot Mountain,NC,"Pilot Mountain, NC",3,1747,94,5.4,35000,1.7
3446590,Millstone,NJ,"Millstone, NJ",1,593,13,2.2,123944,1.7
4274040,Stevens,PA,"Stevens, PA",1,593,93,15.7,41906,1.7
4849932,Muenster,TX,"Muenster, TX",2,1201,0,0,80972,1.7
5131808,Goochland,VA,"Goochland, VA",1,601,28,4.7,66282,1.7
1855080,North Salem,IN,"North Salem, IN",1,611,0,0,53194,1.6
3940348,Kings Mills,OH,"Kings Mills, OH",2,1267,0,0,116505,1.6
4778120,Wartrace,TN,"Wartrace, TN",1,635,10,1.6,44861,1.6
4838476,Katy,TX,"Katy, TX",34,21926,2613,11.9,115250,1.6
4658140,Selby,SD,"Selby, SD",1,612,0,0,52396,1.6
0146504,Maplesville,AL,"Maplesville, AL",1,673,116,17.2,44500,1.5
1319392,Coolidge,GA,"Coolidge, GA",1,666,278,41.7,41000,1.5
1703610,Bannockburn,IL,"Bannockburn, IL",2,1315,166,12.6,147500,1.5
2137108,Hindman,KY,"Hindman, KY",1,648,17,2.6,17226,1.5
3746820,New London,NC,"New London, NC",1,660,14,2.1,63542,1.5
4247672,Mars,PA,"Mars, PA",2,1310,32,2.4,52386,1.5
5512825,Cascade,WI,"Cascade, WI",1,673,2,0.3,81429,1.5
0553600,Parkin,AR,"Parkin, AR",1,706,357,50.6,24667,1.4
1311784,Buford,GA,"Buford, GA",23,16811,2310,13.7,54321,1.4
1383084,Williamson,GA,"Williamson, GA",1,692,39,5.6,94792,1.4
2214485,Chatham,LA,"Chatham, LA",1,691,255,36.9,25227,1.4
4535755,Inman,SC,"Inman, SC",4,2896,350,12.1,51210,1.4
4550515,Norris,SC,"Norris, SC",1,727,23,3.2,55250,1.4
4832240,Hardin,TX,"Hardin, TX",1,696,0,0,46607,1.4
4874048,Tuscola,TX,"Tuscola, TX",1,719,0,0,54375,1.4
5169168,Round Hill,VA,"Round Hill, VA",1,698,13,1.9,95938,1.4
1208125,Bradley Junction,FL,"Bradley Junction, FL",1,784,293,37.4,38621,1.3
1229275,Hawthorne,FL,"Hawthorne, FL",2,1495,945,63.2,46667,1.3
1980445,Van Meter,IA,"Van Meter, IA",2,1528,11,0.7,116181,1.3
2002675,Ashland,KS,"Ashland, KS",1,797,0,0,58500,1.3
2256820,Oak Grove,LA,"Oak Grove, LA",2,1593,603,37.9,26953,1.3
3746740,Newland,NC,"Newland, NC",1,761,1,0.1,36154,1.3
4211736,Catawissa,PA,"Catawissa, PA",2,1518,8,0.5,53203,1.3
4223472,Elysburg,PA,"Elysburg, PA",3,2336,0,0,106498,1.3
4513150,Chapin,SC,"Chapin, SC",2,1544,178,11.5,64236,1.3
4832720,Haslet,TX,"Haslet, TX",3,2296,12,0.5,156250,1.3
4846056,Magnolia,TX,"Magnolia, TX",3,2303,316,13.7,63661,1.3
5135976,Haymarket,VA,"Haymarket, VA",2,1556,239,15.4,133750,1.3
0669182,Santa Margarita,CA,"Santa Margarita, CA",1,800,0,0,NA,1.2
1308480,Blairsville,GA,"Blairsville, GA",1,825,101,12.2,28542,1.2
1321632,Danielsville,GA,"Danielsville, GA",1,836,1,0.1,56923,1.2
1866222,Royal Center,IN,"Royal Center, IN",1,835,4,0.5,41509,1.2
2168952,Science Hill,KY,"Science Hill, KY",1,800,1,0.1,36250,1.2
2245670,Loreauville,LA,"Loreauville, LA",1,854,371,43.4,28750,1.2
4218312,Davidsville,PA,"Davidsville, PA",1,807,0,0,51833,1.2
4229040,Gibsonia,PA,"Gibsonia, PA",3,2536,0,0,130234,1.2
4849128,Montgomery,TX,"Montgomery, TX",2,1617,44,2.7,92583,1.2
5174916,Stafford Courthouse,VA,"Stafford Courthouse, VA",6,4910,1583,32.2,86680,1.2
551091204022,Houlton,WI,"Houlton, WI",2,1667,28,1.7,116923,1.2
0533760,Hughes,AR,"Hughes, AR",1,895,493,55.1,22604,1.1
0559480,Rison,AR,"Rison, AR",1,947,425,44.9,19464,1.1
1307612,Bethlehem,GA,"Bethlehem, GA",1,891,44,4.9,60076,1.1
1340056,Hoschton,GA,"Hoschton, GA",3,2684,183,6.8,80152,1.1
1382468,White,GA,"White, GA",1,904,0,0,60750,1.1
1910045,Calmar,IA,"Calmar, IA",1,952,0,0,70724,1.1
1919180,Dayton,IA,"Dayton, IA",1,912,0,0,65625,1.1
1958575,Odebolt,IA,"Odebolt, IA",1,916,0,0,61196,1.1
2056150,Plainville,KS,"Plainville, KS",2,1886,6,0.3,62500,1.1
2218790,Cullen,LA,"Cullen, LA",1,877,811,92.5,17384,1.1
2466000,Ridgely,MD,"Ridgely, MD",2,1868,290,15.5,60000,1.1
2634640,Grayling,MI,"Grayling, MI",2,1784,33,1.8,27039,1.1
2739986,Mantorville,MN,"Mantorville, MN",1,938,29,3.1,93125,1.1
2800300,Ackerman,MS,"Ackerman, MS",2,1766,859,48.6,33581,1.1
3717000,Denver,NC,"Denver, NC",3,2827,89,3.1,55426,1.1
3756340,Richfield,NC,"Richfield, NC",1,871,16,1.8,69268,1.1
3771100,Warrenton,NC,"Warrenton, NC",1,906,386,42.6,32733,1.1
3104230,Benkelman,NE,"Benkelman, NE",1,938,0,0,43182,1.1
4060500,Prague,OK,"Prague, OK",2,1756,16,0.9,42083,1.1
4072250,Talihina,OK,"Talihina, OK",1,893,12,1.3,28875,1.1
0684438,Westlake Village,CA,"Westlake Village, CA",8,8081,51,0.6,166316,1
1274625,Wabasso,FL,"Wabasso, FL",1,1016,501,49.3,44730,1
1364960,Riceboro,GA,"Riceboro, GA",1,977,879,90,40911,1
1366024,Rochelle,GA,"Rochelle, GA",1,1010,530,52.5,30321,1
1374936,Suwanee,GA,"Suwanee, GA",20,20629,3295,16,99022,1
1380788,Watkinsville,GA,"Watkinsville, GA",3,2888,106,3.7,71667,1
1908605,Britt,IA,"Britt, IA",2,1922,14,0.7,55300,1
1979500,Underwood,IA,"Underwood, IA",1,1003,0,0,85156,1
1837692,Jamestown,IN,"Jamestown, IN",1,959,31,3.2,62891,1
2280010,Watson,LA,"Watson, LA",1,965,0,0,98073,1
2625780,Elsie,MI,"Elsie, MI",1,971,42,4.3,48304,1
2842440,Lucedale,MS,"Lucedale, MS",3,2910,908,31.2,26813,1
2860840,Raleigh,MS,"Raleigh, MS",1,961,375,39,21837,1
2872400,Taylorsville,MS,"Taylorsville, MS",2,1917,833,43.5,38116,1
3929148,Galena,OH,"Galena, OH",1,1022,68,6.7,107778,1
4563790,Santee,SC,"Santee, SC",1,1029,834,81,24783,1
4809172,Bogata,TX,"Bogata, TX",1,1046,4,0.4,27868,1
4830512,Grandview,TX,"Grandview, TX",2,1975,6,0.3,63906,1
4851372,Newton,TX,"Newton, TX",2,2042,428,21,37115,1
5101640,Amelia Court House,VA,"Amelia Court House, VA",1,1004,383,38.1,45146,1
5104872,Bassett,VA,"Bassett, VA",1,1045,252,24.1,37534,1
5118880,Concord,VA,"Concord, VA",1,1005,172,17.1,NA,1
0156472,Ohatchee,AL,"Ohatchee, AL",1,1161,43,3.7,59844,0.9
0648186,Mission Hills,CA,"Mission Hills, CA",3,3435,100,2.9,99517,0.9
1253800,Pahokee,FL,"Pahokee, FL",5,5504,3185,57.9,30753,0.9
1308928,Blue Ridge,GA,"Blue Ridge, GA",1,1167,26,2.2,29922,0.9
1331292,Franklin,GA,"Franklin, GA",1,1056,282,26.7,21518,0.9
1334596,Grayson,GA,"Grayson, GA",4,4478,3172,70.8,113652,0.9
1355860,Norman Park,GA,"Norman Park, GA",1,1109,375,33.8,48214,0.9
1543250,Laie,HI,"Laie, HI",6,6436,28,0.4,101011,0.9
1702882,Atwood,IL,"Atwood, IL",1,1085,0,0,50139,0.9
1813366,Clayton,IN,"Clayton, IN",1,1055,28,2.7,76583,0.9
2012550,Chapman,KS,"Chapman, KS",1,1157,7,0.6,58438,0.9
2025200,Galva,KS,"Galva, KS",1,1170,5,0.4,81786,0.9
2043350,Lyndon,KS,"Lyndon, KS",1,1117,25,2.2,59583,0.9
2209130,Boutte,LA,"Boutte, LA",2,2253,1424,63.2,73632,0.9
2622160,Dexter,MI,"Dexter, MI",4,4531,0,0,86313,0.9
2821580,Edwards,MS,"Edwards, MS",1,1060,1007,95,28688,0.9
2875160,Tylertown,MS,"Tylertown, MS",2,2107,856,40.6,22050,0.9
3713980,Columbus,NC,"Columbus, NC",1,1139,31,2.7,46779,0.9
3446260,Milford,NJ,"Milford, NJ",1,1141,0,0,85000,0.9
3447130,Monmouth Beach,NJ,"Monmouth Beach, NJ",3,3197,28,0.9,131250,0.9
3912476,Castalia,OH,"Castalia, OH",1,1120,7,0.6,44120,0.9
4005000,Beggs,OK,"Beggs, OK",1,1172,115,9.8,43419,0.9
4507255,Blythewood,SC,"Blythewood, SC",4,4543,1816,40,102298,0.9
450070115013,Craytonville,SC,"Craytonville, SC",1,1128,0,0,67813,0.9
4821424,Dripping Springs,TX,"Dripping Springs, TX",4,4699,35,0.7,111429,0.9
4850772,Newark,TX,"Newark, TX",1,1100,0,0,45313,0.9
5512950,Cashton,WI,"Cashton, WI",1,1162,18,1.5,62564,0.9
1642580,Kellogg,ID,"Kellogg, ID",2,2255,0,0,35658,0.9
0139784,Killen,AL,"Killen, AL",1,1209,50,4.1,54261,0.8
0109736,Watson,AL,"Watson, AL",1,1252,413,33,62321,0.8
1227575,Greenville,FL,"Greenville, FL",1,1206,1068,88.6,39125,0.8
1373816,Stone Mountain,GA,"Stone Mountain, GA",5,6622,5724,86.4,44716,0.8
1921405,Dike,IA,"Dike, IA",1,1195,0,0,78485,0.8
1968160,Rock Rapids,IA,"Rock Rapids, IA",2,2604,7,0.3,66473,0.8
1729125,Gibson City,IL,"Gibson City, IL",3,3593,62,1.7,47091,0.8
2001775,Andale,KS,"Andale, KS",1,1203,6,0.5,80313,0.8
2062175,St. Francis,KS,"St. Francis, KS",1,1331,0,0,33611,0.8
2421075,Crownsville,MD,"Crownsville, MD",1,1273,69,5.4,96490,0.8
2423025,District Heights,MD,"District Heights, MD",5,5927,5623,94.9,69099,0.8
2459375,Owings,MD,"Owings, MD",2,2393,170,7.1,130104,0.8
2651460,Marcellus,MI,"Marcellus, MI",1,1254,16,1.3,50417,0.8
2842280,Louisville,MS,"Louisville, MS",5,6108,3953,64.7,34654,0.8
3720980,Elm City,NC,"Elm City, NC",1,1300,872,67.1,32216,0.8
3404420,Bedminster,NJ,"Bedminster, NJ",1,1222,8,0.7,123929,0.8
3422950,Farmingdale,NJ,"Farmingdale, NJ",1,1285,18,1.4,85000,0.8
4077250,Vian,OK,"Vian, OK",1,1309,119,9.1,33036,0.8
