hometown_city_clean,hometown_state_clean,total_players,geoid,total_pop,black_pop,median_income,pct_black,players_per_thousand
Sharpsburg,GA,3,1369980,519,98,67763,18.9,5.8
Tiger,GA,2,1376504,561,11,40469,2,3.6
Bogart,GA,4,1309068,1606,108,67778,6.7,2.5
Leesburg,GA,6,1345768,3407,1468,67551,43.1,1.8
Cumming,GA,12,1320932,6886,483,63438,7,1.7
Moreland,GA,1,1352668,601,56,80000,9.3,1.7
Coolidge,GA,1,1319392,666,278,41000,41.7,1.5
Buford,GA,23,1311784,16811,2310,54321,13.7,1.4
Williamson,GA,1,1383084,692,39,94792,5.6,1.4
Blairsville,GA,1,1308480,825,101,28542,12.2,1.2
Danielsville,GA,1,1321632,836,1,56923,0.1,1.2
Bethlehem,GA,1,1307612,891,44,60076,4.9,1.1
Hoschton,GA,3,1340056,2684,183,80152,6.8,1.1
White,GA,1,1382468,904,0,60750,0,1.1
Riceboro,GA,1,1364960,977,879,40911,90,1
Rochelle,GA,1,1366024,1010,530,30321,52.5,1
Suwanee,GA,20,1374936,20629,3295,99022,16,1
Watkinsville,GA,3,1380788,2888,106,71667,3.7,1
Blue Ridge,GA,1,1308928,1167,26,29922,2.2,0.9
Franklin,GA,1,1331292,1056,282,21518,26.7,0.9
Grayson,GA,4,1334596,4478,3172,113652,70.8,0.9
Norman Park,GA,1,1355860,1109,375,48214,33.8,0.9
Stone Mountain,GA,5,1373816,6622,5724,44716,86.4,0.8
Loganville,GA,10,1347196,13810,4536,72820,32.8,0.7
Subligna,GA,1,130550101002,1538,0,42813,0,0.7
Blackshear,GA,2,1308284,3495,810,32019,23.2,0.6
Covington,GA,9,1320064,14065,6732,43881,47.9,0.6
Dacula,GA,4,1321184,6696,3135,87666,46.8,0.6
Dawsonville,GA,2,1321940,3594,123,75234,3.4,0.6
Ellaville,GA,1,1326980,1697,749,38688,44.1,0.6
Fort Valley,GA,5,1331096,8829,6457,30574,73.1,0.6
Hogansville,GA,2,1339244,3224,1199,48077,37.2,0.6
Pine Mountain,GA,1,1361124,1648,688,60568,41.7,0.6
Robins AFB,GA,1,1365968,1557,211,76717,13.6,0.6
Ellijay,GA,1,1327092,1935,10,41348,0.5,0.5
