hometown_city_clean,hometown_state_clean,total_players,population,players_per_hundred_thousand,black_population,pct_black,median_income
Stone Mountain,GA,5,6622,75.5,5798,87.6,44716
Covington,GA,9,14065,64,6947,49.4,43881
Fort Valley,GA,5,8829,56.6,6523,73.9,30574
Swainsboro,GA,4,7430,53.8,4484,60.3,32830
Cordele,GA,4,10316,38.8,7178,69.6,27922
Conyers,GA,5,17101,29.2,11354,66.4,47280
Brunswick,GA,4,14774,27.1,9015,61,29362
Waycross,GA,3,13898,21.6,8036,57.8,31151
Bainbridge,GA,3,14210,21.1,8172,57.5,40544
Moultrie,GA,3,14621,20.5,6269,42.9,33929
LaGrange,GA,6,31053,19.3,16601,53.5,37007
Dublin,GA,3,16067,18.7,10896,67.8,34970
Griffin,GA,4,23300,17.2,13051,56,38972
Valdosta,GA,9,55417,16.2,32020,57.8,35188
Thomasville,GA,3,18844,15.9,10653,56.5,44063
Savannah,GA,21,147930,14.2,79950,54,49832
Statesboro,GA,4,32400,12.3,14788,45.6,35353
Albany,GA,3,70748,4.2,54143,76.5,40036
Macon,GA,4,156711,2.6,88597,56.5,43862
