hometown_city_clean,hometown_state_clean,total_players,population,players_per_hundred_thousand,black_population,pct_black,median_income
Leesburg,GA,6,3407,176.1,1473,43.2,67551
Cumming,GA,12,6886,174.3,622,9,63438
Buford,GA,23,16811,136.8,2796,16.6,54321
Suwanee,GA,20,20629,97,3542,17.2,99022
Stone Mountain,GA,5,6622,75.5,5798,87.6,44716
Loganville,GA,10,13810,72.4,4922,35.6,72820
Covington,GA,9,14065,64,6947,49.4,43881
Fort Valley,GA,5,8829,56.6,6523,73.9,30574
Kennesaw,GA,16,33036,48.4,7001,21.2,73977
Marietta,GA,28,60962,45.9,21282,34.9,62585
Acworth,GA,10,22330,44.8,6043,27.1,72788
McDonough,GA,12,28574,42,22061,77.2,73215
Norcross,GA,7,17413,40.2,4774,27.4,70403
Snellville,GA,8,20475,39.1,8568,41.8,83691
Douglasville,GA,13,34410,37.8,22406,65.1,61729
Lawrenceville,GA,11,30299,36.3,12114,40,51242
Powder Springs,GA,6,16698,35.9,9687,58,78912
Fayetteville,GA,6,18633,32.2,7936,42.6,73998
Fairburn,GA,5,16215,30.8,11965,73.8,58741
Conyers,GA,5,17101,29.2,11354,66.4,47280
Cartersville,GA,6,22626,26.5,3806,16.8,62510
Milton,GA,10,40487,24.7,5323,13.1,136020
Alpharetta,GA,16,65187,24.5,9328,14.3,133920
Carrollton,GA,6,26773,22.4,9937,37.1,44049
Ellenwood,GA,9,41037,21.9,35446,86.4,69876
Gainesville,GA,9,41730,21.6,7355,17.6,57258
Roswell,GA,18,92688,19.4,12763,13.8,111214
LaGrange,GA,6,31053,19.3,16601,53.5,37007
Duluth,GA,6,31506,19,7269,23.1,77516
Woodstock,GA,6,33857,17.7,3891,11.5,92648
Atlanta,GA,80,492204,16.3,245922,50,69164
Valdosta,GA,9,55417,16.2,32020,57.8,35188
Savannah,GA,21,147930,14.2,79950,54,49832
Rome,GA,5,37509,13.3,10353,27.6,40000
Warner Robins,GA,5,79589,6.3,35476,44.6,58379
Columbus,GA,11,204366,5.4,101179,49.5,50542
Athens,GA,6,126118,4.8,36579,29,43466
