hometown_city,hometown_city_clean,hometown_state_clean,total
Abbeville,Abbeville,SC,2
Aberdeen,Aberdeen,NJ,1
Abernathy,Abernathy,TX,1
Abilene,Abilene,TX,3
Abington,Abington,PA,1
Absecon,Absecon,NJ,1
Accokeek,Accokeek,MD,2
Ackerman,Ackerman,MS,2
Acton,Acton,MA,1
Acworth,Acworth,GA,10
Ada,Ada,MI,1
Addison,Addison,TX,1
Adel,Adel,IA,2
Adelanto,Adelanto,CA,1
Advance,Advance,NC,1
Agoura Hills,Agoura Hills,CA,1
Akron,Akron,OH,12
Alabaster,Alabaster,AL,9
Alameda,Alameda,CA,2
Alamo,Alamo,CA,1
Alba,Alba,TX,1
Albany,Albany,GA,3
Albany,Albany,NY,1
Albany,Albany,OR,1
Albuquerque,Albuquerque,NM,3
Alcoa,Alcoa,TN,2
Aldie,Aldie,VA,1
Aledo,Aledo,TX,9
Alexandria,Alexandria,LA,4
Alexandria,Alexandria,MN,1
Alexandria,Alexandria,VA,7
Alhambra,Alhambra,CA,1
Alief,Houston,TX,1
Aliquippa,Aliquippa,PA,2
Allen,Allen,TX,16
Allentown,Allentown,PA,2
Allison Park,Allison Park,PA,1
Alpharetta,Alpharetta,GA,16
Alpine,Alpine,UT,2
Altadena,Altadena,CA,1
Altoona,Altoona,IA,2
Altoona,Altoona,PA,1
Alvin,Alvin,TX,1
Amarillo,Amarillo,TX,5
Amelia County,Amelia Court House,VA,1
American Fork,American Fork,UT,6
Ames,Ames,IA,2
Amite,Amite City,LA,2
Anaheim,Anaheim,CA,4
Anaheim Hills,Anaheim Hills,CA,1
Anchorage,Anchorage,AK,1
Andale,Andale,KS,1
Andalusia,Andalusia,AL,2
Anderson,Anderson,CA,1
Anderson,Anderson,SC,9
Andover,Andover,KS,1
Andrews,Andrews,NC,1
Ankeny,Ankeny,IA,5
Annandale,Annandale,MN,1
Annandale,Annandale,VA,1
Annapolis,Annapolis,MD,3
Anniston,Anniston,AL,6
Anoka,Anoka,MN,1
Anthem,Anthem,AZ,1
Antioch,Antioch,CA,6
Antioch,Antioch,IL,2
Antioch,Antioch,TN,2
Apex,Apex,NC,3
Apopka,Apopka,FL,12
Apple Valley,Apple Valley,CA,2
Apple Valley,Apple Valley,MN,1
Appomattox,Appomattox,VA,1
Arbutus,Arbutus,MD,1
Archbald,Archbald,PA,1
Arden,Arden,NC,1
Ardmore,Ardmore,OK,5
Argyle,Argyle,TX,8
Arkadelphia,Arkadelphia,AR,1
Arlington,Arlington,TX,34
Arlington,Arlington,VA,4
Arlington Heights,Arlington Heights,IL,5
Arroyo Grande,Arroyo Grande,CA,1
Arvada,Arvada,CO,1
Asbury Park,Asbury Park,NJ,1
Ashburn,Ashburn,VA,13
Ashdown,Ashdown,AR,2
Asheboro,Asheboro,NC,1
Asheville,Asheville,NC,5
Ashland,Ashland,AL,1
Ashland,Ashland,KS,1
Ashland,Ashland,KY,1
Atascocita,Atascocita,TX,1
Athens,Athens,GA,6
Athens,Athens,TX,1
Atherton,Atherton,CA,3
Atlanta,Atlanta,GA,80
Atoka,Atoka,OK,2
Attleboro,Attleboro,MA,1
Atwood,Atwood,IL,1
Aubrey,Aubrey,TX,1
Auburn,Auburn,AL,7
Auburn,Auburn,CA,1
Auburn,Auburn,WA,5
Auburn Hills,Auburn Hills,MI,1
Aurora,Aurora,CO,9
Aurora,Aurora,IL,3
Aurora,Aurora,NE,1
Aurora,Aurora,OH,1
Austell,Austell,GA,2
Austin,Austin,TX,56
Austintown,Austintown,OH,3
Averne,Averne,NY,1
Avon,Avon,OH,2
Avondale,Avondale,AZ,1
Aylett,Aylett,VA,1
Azle,Azle,TX,2
Bailey,Bailey,NC,1
Bainbridge,Bainbridge,GA,3
Bakersfield,Bakersfield,CA,7
Baldwin Hills,Baldwin Hills,CA,1
Baldwin Park,Baldwin Park,CA,2
Baldwin Village,Baldwin Village,CA,1
Ballston Lake,Ballston Lake,NY,1
Baltimore,Baltimore,MD,36
Bamberg,Bamberg,SC,1
Bannockburn,Bannockburn,IL,2
Barnesville,Barnesville,GA,1
Barrington,Barrington,IL,3
Bartow,Bartow,FL,3
Basehor,Basehor,KS,1
Basking Ridge,Basking Ridge,NJ,1
Bassett,Bassett,VA,1
Bastrop,Bastrop,TX,2
Batavia,Batavia,IL,3
Batesburg-Leesville,Batesburg-Leesville,SC,1
Baton Rouge,Baton Rouge,LA,23
Battle Creek,Battle Creek,MI,1
Baxley,Baxley,GA,1
Bay City,Bay City,MI,1
Bay City,Bay City,TX,1
Bay Shore,Bay Shore,NY,1
Bay Village,Bay Village,OH,1
Baytown,Baytown,TX,1
Bear,Bear,DE,2
Beaufort,Beaufort,NC,1
Beaumont,Beaumont,TX,4
Beaver,Beaver,UT,1
Beaver Falls,Beaver Falls,PA,2
Beaverton,Beaverton,OR,1
Bedford,Bedford,TX,1
Bedminster,Bedminster,NJ,1
Beech Grove,Beech Grove,IN,1
Beggs,Beggs,OK,1
Bel Air,Bel Air,MD,2
Bellaire,Bellaire,TX,2
Belle Glade,Belle Glade,FL,2
Belle Rose,Belle Rose,LA,1
Belle Vernon,Belle Vernon,PA,3
Belleville,Belleville,IL,5
Belleville,Belleville,MI,8
Bellevue,Bellevue,NE,1
Bellevue,Bellevue,WA,4
Bellflower,Bellflower,CA,7
Bellingham,Bellingham,WA,6
Bellville,Bellville,TX,1
Belmar,Belmar,NJ,1
Belmont,Belmont,CA,1
Belmont,Belmont,MA,1
Beloit,Beloit,KS,1
Belton,Belton,TX,1
Beltsville,Beltsville,MD,1
Bend,Bend,OR,2
Benkelman,Benkelman,NE,1
Bennington,Bennington,NE,1
Bentonville,Bentonville,AR,4
Berea,Berea,OH,1
Berkeley,Berkeley,CA,3
Berlin,Berlin,MD,1
Berrien Springs,Berrien Springs,MI,1
Berryhill,Berryhill,OK,1
Berwyn,Berwyn,IL,1
Bessemer,Bessemer,AL,4
Bethany,Bethany,OK,1
Bethlehem,Bethlehem,GA,1
Bethlehem,Bethlehem,PA,4
Bettendorf,Bettendorf,IA,5
Beverly,Beverly,NJ,1
Beverly Hills,Beverly Hills,MI,4
Big Sandy,Big Sandy,TX,1
Big Stone Gap,Big Stone Gap,VA,1
Biggersville,Biggersville,MS,1
Billings,Billings,MT,1
Binghamton,Binghamton,NY,1
Birmingham,Birmingham,AL,43
Birmingham,Birmingham,MI,1
Bismarck,Bismarck,ND,1
Bixby,Bixby,OK,5
Blacksburg,Blacksburg,VA,4
Blackshear,Blackshear,GA,2
Blackstone,Blackstone,VA,1
Blairsville,Blairsville,GA,1
Bloomfield Hills,Bloomfield Hills,MI,2
Bloomington,Bloomington,IL,2
Bloomington,Bloomington,IN,6
Blue Point,Blue Point,NY,1
Blue Ridge,Blue Ridge,GA,1
Blue Springs,Blue Springs,MO,4
Bluefield,Bluefield,VA,4
