hometown_city,hometown_state_clean,total
Abbeville,SC,2
Aberdeen,NJ,1
Abernathy,TX,1
Abilene,TX,3
Abington,PA,1
Absecon,NJ,1
Accokeek,MD,2
Ackerman,MS,2
Acton,MA,1
Acworth,GA,10
Ada,MI,1
Addison,TX,1
Adel,IA,2
Adelanto,CA,1
Advance,NC,1
Agoura Hills,CA,1
Akron,OH,12
Alabaster,AL,9
Alameda,CA,2
Alamo,CA,1
Alba,TX,1
Albany,GA,3
Albany,NY,1
Albany,OR,1
Albuquerque,NM,3
Alcoa,TN,2
Aldie,VA,1
Aledo,TX,9
Alexandria,LA,4
Alexandria,MN,1
Alexandria,VA,7
Alhambra,CA,1
Alief,TX,1
Aliquippa,PA,2
Allen,TX,16
Allentown,PA,2
Allison Park,PA,1
Alpharetta,GA,16
Alpine,UT,2
Altadena,CA,1
Altoona,IA,2
Altoona,PA,1
Alvin,TX,1
Amarillo,TX,5
Amelia County,VA,1
American Fork,UT,6
Ames,IA,2
Amite,LA,2
Anaheim,CA,4
Anaheim Hills,CA,1
Anchorage,AK,1
Andale,KS,1
Andalusia,AL,2
Anderson,CA,1
Anderson,SC,9
Andover,KS,1
Andrews,NC,1
Ankeny,IA,5
Annandale,MN,1
Annandale,VA,1
Annapolis,MD,3
Anniston,AL,6
Anoka,MN,1
Anthem,AZ,1
Antioch,CA,6
Antioch,IL,2
Antioch,TN,2
Apex,NC,3
Apopka,FL,12
Apple Valley,CA,2
Apple Valley,MN,1
Appomattox,VA,1
Arbutus,MD,1
Archbald,PA,1
Arden,NC,1
Ardmore,OK,5
Argyle,TX,8
Arkadelphia,AR,1
Arlington,TX,34
Arlington,VA,4
Arlington Heights,IL,5
Arroyo Grande,CA,1
Arvada,CO,1
Asbury Park,NJ,1
Ashburn,VA,13
Ashdown,AR,2
Asheboro,NC,1
Asheville,NC,5
Ashland,AL,1
Ashland,KS,1
Ashland,KY,1
Atascocita,TX,1
Athens,GA,6
Athens,TX,1
Atherton,CA,3
Atlanta,GA,80
Atoka,OK,2
Attleboro,MA,1
Atwood,IL,1
Aubrey,TX,1
Auburn,AL,7
Auburn,CA,1
Auburn,WA,5
Auburn Hills,MI,1
Aurora,CO,9
Aurora,IL,3
Aurora,NE,1
Aurora,OH,1
Austell,GA,2
Austin,TX,56
Austintown,OH,3
Averne,NY,1
Avon,OH,2
Avondale,AZ,1
Aylett,VA,1
Azle,TX,2
Bailey,NC,1
Bainbridge,GA,3
Bakersfield,CA,7
Baldwin Hills,CA,1
Baldwin Park,CA,2
Baldwin Village,CA,1
Ballston Lake,NY,1
Baltimore,MD,36
Bamberg,SC,1
Bannockburn,IL,2
Barnesville,GA,1
Barrington,IL,3
Bartow,FL,3
Basehor,KS,1
Basking Ridge,NJ,1
Bassett,VA,1
Bastrop,TX,2
Batavia,IL,3
Batesburg-Leesville,SC,1
Baton Rouge,LA,23
Battle Creek,MI,1
Baxley,GA,1
