geoid,county,state,poverty_total_e,poverty_below_e,poverty_rate
28027,Coahoma County,Mississippi,20619,7623,37
28051,Holmes County,Mississippi,16002,5598,35
28083,Leflore County,Mississippi,26469,8524,32.2
28053,Humphreys County,Mississippi,7651,2453,32.1
28011,Bolivar County,Mississippi,28497,9054,31.8
28063,Jefferson County,Mississippi,6730,2139,31.8
28143,Tunica County,Mississippi,9572,3002,31.4
28113,Pike County,Mississippi,38709,11875,30.7
28021,Claiborne County,Mississippi,7951,2419,30.4
28119,Quitman County,Mississippi,5919,1789,30.2
28151,Washington County,Mississippi,43658,12788,29.3
28163,Yazoo County,Mississippi,22548,6569,29.1
28133,Sunflower County,Mississippi,22127,6347,28.7
28105,Oktibbeha County,Mississippi,46114,13133,28.5
28099,Neshoba County,Mississippi,28353,7938,28
28001,Adams County,Mississippi,27437,7461,27.2
28005,Amite County,Mississippi,12560,3398,27.1
28125,Sharkey County,Mississippi,3809,1025,26.9
28017,Chickasaw County,Mississippi,16498,4392,26.6
28159,Winston County,Mississippi,17285,4490,26
28135,Tallahatchie County,Mississippi,12059,3095,25.7
28075,Lauderdale County,Mississippi,69590,17290,24.8
28097,Montgomery County,Mississippi,9660,2337,24.2
28037,Franklin County,Mississippi,7593,1805,23.8
28007,Attala County,Mississippi,17414,4103,23.6
28031,Covington County,Mississippi,18002,4251,23.6
28101,Newton County,Mississippi,20475,4803,23.5
28029,Copiah County,Mississippi,27113,6353,23.4
28103,Noxubee County,Mississippi,10072,2337,23.2
28065,Jefferson Davis County,Mississippi,11176,2579,23.1
28025,Clay County,Mississippi,18314,4214,23
28035,Forrest County,Mississippi,73861,16868,22.8
28091,Marion County,Mississippi,23499,5362,22.8
28077,Lawrence County,Mississippi,11917,2683,22.5
28085,Lincoln County,Mississippi,34368,7675,22.3
28043,Grenada County,Mississippi,21022,4669,22.2
28153,Wayne County,Mississippi,19668,4343,22.1
28069,Kemper County,Mississippi,8073,1778,22
28123,Scott County,Mississippi,27580,6030,21.9
28015,Carroll County,Mississippi,9540,2084,21.8
28157,Wilkinson County,Mississippi,7442,1601,21.5
28067,Jones County,Mississippi,65533,13933,21.3
28049,Hinds County,Mississippi,217675,45809,21
28079,Leake County,Mississippi,20675,4335,21
28039,George County,Mississippi,23823,4986,20.9
28131,Stone County,Mississippi,17578,3660,20.8
28023,Clarke County,Mississippi,15427,3176,20.6
28055,Issaquena County,Mississippi,853,176,20.6
28111,Perry County,Mississippi,11192,2304,20.6
28161,Yalobusha County,Mississippi,12223,2510,20.5
28107,Panola County,Mississippi,32863,6712,20.4
28147,Walthall County,Mississippi,13727,2783,20.3
28071,Lafayette County,Mississippi,50751,9967,19.6
28093,Marshall County,Mississippi,31676,6181,19.5
28141,Tishomingo County,Mississippi,18529,3561,19.2
28019,Choctaw County,Mississippi,8064,1543,19.1
28139,Tippah County,Mississippi,21241,4013,18.9
28013,Calhoun County,Mississippi,12935,2426,18.8
28041,Greene County,Mississippi,9922,1824,18.4
28047,Harrison County,Mississippi,203728,37450,18.4
28129,Smith County,Mississippi,14154,2578,18.2
28087,Lowndes County,Mississippi,56588,10235,18.1
28149,Warren County,Mississippi,43731,7923,18.1
28009,Benton County,Mississippi,7536,1328,17.6
28061,Jasper County,Mississippi,16183,2785,17.2
28003,Alcorn County,Mississippi,33825,5791,17.1
28127,Simpson County,Mississippi,25333,4321,17.1
28073,Lamar County,Mississippi,63869,10759,16.8
28095,Monroe County,Mississippi,33201,5557,16.7
28115,Pontotoc County,Mississippi,30932,5166,16.7
28137,Tate County,Mississippi,26101,4352,16.7
28117,Prentiss County,Mississippi,23689,3866,16.3
28109,Pearl River County,Mississippi,54953,8663,15.8
28155,Webster County,Mississippi,9828,1550,15.8
28059,Jackson County,Mississippi,142083,22256,15.7
28045,Hancock County,Mississippi,45578,6263,13.7
28081,Lee County,Mississippi,82056,11039,13.5
28145,Union County,Mississippi,27506,3388,12.3
28057,Itawamba County,Mississippi,22308,2324,10.4
28033,DeSoto County,Mississippi,184491,18083,9.8
28089,Madison County,Mississippi,107564,10534,9.8
28121,Rankin County,Mississippi,151949,14417,9.5
