hometown_state_clean,total_players,total_pop,players_per_hundred_thousand,state_name_caps
GA,656,10722325,6.1,GEORGIA
AL,277,5028092,5.5,ALABAMA
MS,139,2958846,4.7,MISSISSIPPI
HI,65,1450589,4.5,HAWAII
UT,142,3283809,4.3,UTAH
LA,194,4640546,4.2,LOUISIANA
IA,127,3188836,4,IOWA
NE,76,1958939,3.9,NEBRASKA
KS,112,2935922,3.8,KANSAS
SC,192,5142750,3.7,SOUTH CAROLINA
TX,1009,29243342,3.5,TEXAS
FL,755,21634529,3.5,FLORIDA
OK,133,3970497,3.3,OKLAHOMA
TN,219,6923772,3.2,TENNESSEE
MD,184,6161707,3,MARYLAND
DC,20,670587,3,"WASHINGTON, DC"
VA,250,8624511,2.9,VIRGINIA
NC,295,10470214,2.8,NORTH CAROLINA
OH,284,11774683,2.4,OHIO
AZ,173,7172282,2.4,ARIZONA
AR,68,3018669,2.3,ARKANSAS
NJ,190,9249063,2.1,NEW JERSEY
KY,94,4502935,2.1,KENTUCKY
WA,153,7688549,2,WASHINGTON
IN,138,6784403,2,INDIANA
IL,241,12757634,1.9,ILLINOIS
MI,195,10057921,1.9,MICHIGAN
MO,120,6154422,1.9,MISSOURI
CA,694,39356104,1.8,CALIFORNIA
WI,99,5882128,1.7,WISCONSIN
OR,74,4229374,1.7,OREGON
PA,189,12989208,1.5,PENNSYLVANIA
WV,26,1792967,1.5,WEST VIRGINIA
NV,43,3104817,1.4,NEVADA
DE,14,993635,1.4,DELAWARE
CO,76,5770790,1.3,COLORADO
MN,74,5695292,1.3,MINNESOTA
CT,41,3611317,1.1,CONNECTICUT
SD,10,890342,1.1,SOUTH DAKOTA
MA,67,6984205,1,MASSACHUSETTS
ID,19,1854109,1,IDAHO
NY,97,19994379,0.5,NEW YORK
MT,5,1091840,0.5,MONTANA
NM,9,2112463,0.4,NEW MEXICO
ND,3,776874,0.4,NORTH DAKOTA
NH,3,1379610,0.2,NEW HAMPSHIRE
RI,2,1094250,0.2,RHODE ISLAND
WY,1,577929,0.2,WYOMING
AK,1,734821,0.1,ALASKA
