geoid,hometown_city_clean,hometown_state_clean,hometown_combined,total_players,total_pop,black_pop,pct_black,median_income,players_per_thousand,players_per_capita
1369980,Sharpsburg,GA,"Sharpsburg, GA",3,380,7,1.8,69531,7.9,127
2682450,Clarkston,MI,"Clarkston, MI",6,775,36,4.6,95313,7.7,129
4205288,Belle Vernon,PA,"Belle Vernon, PA",3,803,40,5,39007,3.7,268
1309068,Bogart,GA,"Bogart, GA",4,1276,39,3.1,83333,3.1,319
4566760,Six Mile,SC,"Six Mile, SC",3,1086,0,0,103750,2.8,362
2840600,Lexington,MS,"Lexington, MS",3,1154,873,75.6,39076,2.6,385
2607020,Belleville,MI,"Belleville, MI",8,3979,731,18.4,55979,2,497
3751820,Pilot Mountain,NC,"Pilot Mountain, NC",3,1667,76,4.6,42045,1.8,556
4801744,Aledo,TX,"Aledo, TX",9,5053,49,1,123045,1.8,561
1522250,Kahuku,HI,"Kahuku, HI",4,2274,59,2.6,71758,1.8,568
1345768,Leesburg,GA,"Leesburg, GA",6,3465,1636,47.2,55417,1.7,578
4803768,Argyle,TX,"Argyle, TX",8,4638,54,1.2,205246,1.7,580
1320932,Cumming,GA,"Cumming, GA",12,7371,598,8.1,71855,1.6,614
4838476,Katy,TX,"Katy, TX",34,22826,2776,12.2,114917,1.5,671
4535755,Inman,SC,"Inman, SC",4,2987,467,15.6,50938,1.3,747
1311784,Buford,GA,"Buford, GA",23,17222,2147,12.5,68165,1.3,749
4832720,Haslet,TX,"Haslet, TX",3,2336,89,3.8,160481,1.3,779
4223472,Elysburg,PA,"Elysburg, PA",3,2451,0,0,119216,1.2,817
5174916,Stafford Courthouse,VA,"Stafford Courthouse, VA",6,4996,1769,35.4,94653,1.2,833
4846056,Magnolia,TX,"Magnolia, TX",3,2620,280,10.7,59922,1.1,873
1543250,Laie,HI,"Laie, HI",6,5411,20,0.4,108965,1.1,902
3717000,Denver,NC,"Denver, NC",3,2739,17,0.6,65577,1.1,913
4229040,Gibsonia,PA,"Gibsonia, PA",3,2876,0,0,130750,1,959
2842440,Lucedale,MS,"Lucedale, MS",3,2914,997,34.2,35662,1,971
0684438,Westlake Village,CA,"Westlake Village, CA",8,7948,44,0.6,188681,1,994
1380788,Watkinsville,GA,"Watkinsville, GA",3,2998,97,3.2,78750,1,999
1340056,Hoschton,GA,"Hoschton, GA",3,3099,176,5.7,87021,1,1033
1374936,Suwanee,GA,"Suwanee, GA",20,21238,2689,12.7,100780,0.9,1062
3447130,Monmouth Beach,NJ,"Monmouth Beach, NJ",3,3199,24,0.8,144792,0.9,1066
1253800,Pahokee,FL,"Pahokee, FL",5,5548,2971,53.6,36289,0.9,1110
2622160,Dexter,MI,"Dexter, MI",4,4505,16,0.4,89671,0.9,1126
1334596,Grayson,GA,"Grayson, GA",4,4572,3538,77.4,121421,0.9,1143
0648186,Mission Hills,CA,"Mission Hills, CA",3,3458,100,2.9,102024,0.9,1153
2423025,District Heights,MD,"District Heights, MD",5,5905,5483,92.9,84929,0.8,1181
1729125,Gibson City,IL,"Gibson City, IL",3,3615,52,1.4,51275,0.8,1205
2842280,Louisville,MS,"Louisville, MS",5,6061,3613,59.6,36078,0.8,1212
4507255,Blythewood,SC,"Blythewood, SC",4,4890,2037,41.7,100595,0.8,1222
5108152,Bluefield,VA,"Bluefield, VA",4,5059,593,11.7,53162,0.8,1265
4513015,Central,SC,"Central, SC",4,5272,533,10.1,45909,0.8,1318
1373816,Stone Mountain,GA,"Stone Mountain, GA",5,6638,5671,85.4,44950,0.8,1328
0950576,New Canaan,CT,"New Canaan, CT",5,6863,144,2.1,167614,0.7,1373
4821424,Dripping Springs,TX,"Dripping Springs, TX",4,5495,63,1.1,104141,0.7,1374
4775000,Trenton,TN,"Trenton, TN",3,4202,1323,31.5,32178,0.7,1401
1347196,Loganville,GA,"Loganville, GA",10,14287,5192,36.3,77750,0.7,1429
1578050,Waimanalo,HI,"Waimanalo, HI",4,5743,0,0,127143,0.7,1436
1268525,Starke,FL,"Starke, FL",4,5756,1499,26,42976,0.7,1439
0160648,Pinson,AL,"Pinson, AL",5,7209,2978,41.3,83673,0.7,1442
2815340,Columbia,MS,"Columbia, MS",4,5831,2498,42.8,29470,0.7,1458
4861892,Richmond,TX,"Richmond, TX",8,11931,3175,26.6,51832,0.7,1491
2658980,Northville,MI,"Northville, MI",4,6088,6,0.1,134330,0.7,1522
1320064,Covington,GA,"Covington, GA",9,14190,7062,49.8,47278,0.6,1577
5533100,Hartland,WI,"Hartland, WI",6,9599,40,0.4,82238,0.6,1600
1247625,Naples,FL,"Naples, FL",12,19315,952,4.9,135657,0.6,1610
3962498,Pickerington,OH,"Pickerington, OH",14,23229,4543,19.6,114573,0.6,1659
0175768,Theodore,AL,"Theodore, AL",3,5123,825,16.1,62553,0.6,1708
4811460,Brock,TX,"Brock, TX",4,6846,0,0,147156,0.6,1712
1321184,Dacula,GA,"Dacula, GA",4,6906,1682,24.4,81322,0.6,1726
1331096,Fort Valley,GA,"Fort Valley, GA",5,8821,6191,70.2,31807,0.6,1764
1374964,Swainsboro,GA,"Swainsboro, GA",4,7542,4306,57.1,44491,0.5,1886
1378044,Tyrone,GA,"Tyrone, GA",4,7710,2391,31,112898,0.5,1928
4510855,Camden,SC,"Camden, SC",4,7834,2518,32.1,54141,0.5,1958
4219752,Downingtown,PA,"Downingtown, PA",4,8088,1018,12.6,74323,0.5,2022
1336276,Hampton,GA,"Hampton, GA",4,8244,4810,58.3,67808,0.5,2061
2403390248,Upper Marlboro,MD,"Upper Marlboro, MD",12,24732,20315,82.1,139805,0.5,2061
1343192,Kennesaw,GA,"Kennesaw, GA",16,33360,7018,21,81467,0.5,2085
4873316,Tomball,TX,"Tomball, TX",6,12630,860,6.8,70829,0.5,2105
0176944,Trussville,AL,"Trussville, AL",12,25621,2321,9.1,118028,0.5,2135
1264925,Seffner,FL,"Seffner, FL",4,8597,2032,23.6,87847,0.5,2149
4813108,Carthage,TX,"Carthage, TX",3,6549,786,12,42788,0.5,2183
1349756,Marietta,GA,"Marietta, GA",28,61387,18879,30.8,67589,0.5,2192
1300408,Acworth,GA,"Acworth, GA",10,22318,5029,22.5,74643,0.4,2232
0141296,Lanett,AL,"Lanett, AL",3,6880,4918,71.5,48125,0.4,2293
4535890,Irmo,SC,"Irmo, SC",5,11685,3403,29.1,77656,0.4,2337
2856960,Philadelphia,MS,"Philadelphia, MS",3,7065,3590,50.8,38713,0.4,2355
4835348,Humble,TX,"Humble, TX",7,16563,4219,25.5,58581,0.4,2366
4869032,Southlake,TX,"Southlake, TX",13,30779,417,1.4,250001,0.4,2368
0603092,Atherton,CA,"Atherton, CA",3,7124,103,1.4,250001,0.4,2375
1348624,McDonough,GA,"McDonough, GA",12,29134,21131,72.5,77804,0.4,2428
1741105,Lake Forest,IL,"Lake Forest, IL",8,19436,191,1,202153,0.4,2430
4708920,Brownsville,TN,"Brownsville, TN",4,9739,6655,68.3,38662,0.4,2435
4773900,Thompson's Station,TN,"Thompson's Station, TN",3,7426,10,0.1,116569,0.4,2475
1355776,Norcross,GA,"Norcross, GA",7,17530,4823,27.5,74921,0.4,2504
1942015,Knoxville,IA,"Knoxville, IA",3,7523,32,0.4,57318,0.4,2508
4514950,Clemson,SC,"Clemson, SC",7,17557,1505,8.6,50263,0.4,2508
1319616,Cordele,GA,"Cordele, GA",4,10210,7119,69.7,33166,0.4,2552
2956288,Parkville,MO,"Parkville, MO",3,7669,207,2.7,166563,0.4,2556
2280955,West Monroe,LA,"West Monroe, LA",5,12987,5542,42.7,47129,0.4,2597
1371604,Snellville,GA,"Snellville, GA",8,20895,8383,40.1,88586,0.4,2612
2608160,Beverly Hills,MI,"Beverly Hills, MI",4,10550,695,6.6,162364,0.4,2638
2248225,Mandeville,LA,"Mandeville, LA",5,13194,292,2.2,84886,0.4,2639
1565900,Pukalani,HI,"Pukalani, HI",3,7930,94,1.2,119426,0.4,2643
3937464,Ironton,OH,"Ironton, OH",4,10597,208,2,43702,0.4,2649
1323900,Douglasville,GA,"Douglasville, GA",13,35252,22482,63.8,72753,0.4,2712
1213150,Cocoa,FL,"Cocoa, FL",7,19073,5388,28.2,53900,0.4,2725
1345488,Lawrenceville,GA,"Lawrenceville, GA",11,30465,10733,35.2,55608,0.4,2770
4846500,Manvel,TX,"Manvel, TX",4,11265,2946,26.2,105188,0.4,2816
1362524,Powder Springs,GA,"Powder Springs, GA",6,16930,8831,52.2,88311,0.4,2822
4815988,Colleyville,TX,"Colleyville, TX",9,25876,998,3.9,196298,0.3,2875
5326735,Gig Harbor,WA,"Gig Harbor, WA",4,11917,64,0.5,103688,0.3,2979
4708280,Brentwood,TN,"Brentwood, TN",15,44830,1458,3.3,181576,0.3,2989
3120260,Gretna,NE,"Gretna, NE",3,9019,15,0.2,117553,0.3,3006
1252125,Orange Park,FL,"Orange Park, FL",3,9047,2307,25.5,67035,0.3,3016
1507450,Ewa Beach,HI,"Ewa Beach, HI",5,15167,0,0,114207,0.3,3033
4014200,Choctaw,OK,"Choctaw, OK",4,12154,247,2,90241,0.3,3038
